"114年11月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"114/11/03","30,913,479","46,512,471,060","1,510.00","1,520.00","1,490.00","1,510.00","+10.00","71,467",
"114/11/04","35,922,791","54,169,421,541","1,520.00","1,525.00","1,495.00","1,505.00","-5.00","70,678",
"114/11/05","63,423,241","93,109,323,845","1,480.00","1,485.00","1,455.00","1,460.00","-45.00","248,089",
"114/11/06","29,955,147","44,104,541,986","1,470.00","1,480.00","1,465.00","1,465.00","+5.00","74,015",
"114/11/07","23,551,721","34,382,089,105","1,460.00","1,465.00","1,455.00","1,460.00","-5.00","78,941",
"114/11/10","26,579,263","39,203,254,959","1,470.00","1,485.00","1,465.00","1,475.00","+15.00","44,799",
"114/11/11","24,857,058","36,769,705,255","1,490.00","1,495.00","1,465.00","1,465.00","-10.00","67,666",
"114/11/12","25,998,385","38,344,962,465","1,470.00","1,485.00","1,460.00","1,475.00","+10.00","38,420",
"114/11/13","23,920,639","35,016,372,835","1,460.00","1,470.00","1,460.00","1,460.00","-15.00","73,841",
"114/11/14","32,778,804","46,933,830,385","1,425.00","1,440.00","1,425.00","1,430.00","-30.00","216,630",
"114/11/17","34,872,653","50,497,384,300","1,450.00","1,460.00","1,445.00","1,445.00","+15.00","52,588",
"114/11/18","49,856,799","70,572,614,780","1,435.00","1,435.00","1,405.00","1,405.00","-40.00","272,962",
"114/11/19","42,661,060","59,869,558,425","1,400.00","1,415.00","1,395.00","1,395.00","-10.00","109,706",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

